Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"6,680",72.1,70.6,73.6,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP063,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,801,11.7,10.6,12.8,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP064,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,418,6.7,5.9,7.5,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP065,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,501,8.3,7.4,9.3,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP066,"(32.84057112200048, -86.63186076199969)"
2014,AL,Alabama,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,77,1.2,0.8,1.6,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,1,BO1,CAT1,CHECKUP1,RESP067,"(32.84057112200048, -86.63186076199969)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past year,Overall,Overall,"2,725",57.8,55.6,59.9,367,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP063,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 2 years,Overall,Overall,686,16.3,14.7,17.8,368,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP064,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Within the past 5 years,Overall,Overall,415,11.7,10.2,13.1,369,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP065,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,5 or more years ago,Overall,Overall,473,13.2,11.7,14.8,370,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP066,"(64.84507995700051, -147.72205903599973)"
2014,AK,Alaska,Health Care Access/Coverage,Last Checkup,About how long has it been since you last visited a doctor for a routine checkup?,Never,Overall,Overall,35,1.1,0.5,1.6,371,%,Crude Prevalence,,,BRFSS,CLASS07,Topic36,2,BO1,CAT1,CHECKUP1,RESP067,"(64.84507995700051, -147.72205903599973)"
