Id2,stateAbbr,state,greaterThan60,depressed,noWork,bingeDrinkers,earlyBirds,stroke
1,AL,Alabama,1.84,21.3,30.7,12,5.67,4.7
2,AK,Alaska,1.75,15.6,19.1,20.2,3.83,2.4
4,AZ,Arizona,1.58,18.7,28,14.9,6.88,3
5,AR,Arkansas,1.79,21.5,29.6,13.3,4.88,5.1
6,CA,California,3.39,13.3,27.8,15.6,5.67,2.7
8,CO,Colorado,2.01,17,19.4,17.5,3.98,1.8
9,CT,Connecticut,2.95,18.3,21,15.9,2.74,2.6
10,DE,Delaware,2.34,18.3,23,15.7,4.81,3.2
11,DC,District of Columbia,1.94,18.1,21.9,24.9,1.91,3.3
12,FL,Florida,2.03,16.2,28.1,15,3.42,3.4
13,GA,Georgia,2.71,18.3,28.2,14.2,4.11,3.3
15,HI,Hawaii,3.05,10.7,22.5,19.7,7.31,3.1
16,ID,Idaho,1.45,19.5,22.8,14.8,4.11,2.9
17,IL,Illinois,2.88,16.7,23.7,20.2,4.78,2.9
18,IN,Indiana,1.77,20.7,23.2,14.8,5.86,3.2
19,IA,Iowa,1.24,18.7,16.4,21.4,4.48,2.7
20,KS,Kansas,1.19,18.6,19.9,15.8,4.21,3.2
21,KY,Kentucky,1.77,23.9,28.4,12.7,4.78,4.2
22,LA,Louisiana,3.33,18.7,29.7,16,6.54,3.8
23,ME,Maine,2.11,23.7,20.6,17,5.35,3.1
24,MD,Maryland,4.11,15.9,21.3,15.4,4.55,3.1
25,MA,Massachusetts,3,21.7,20,17.4,2.8,2.7
26,MI,Michigan,1.86,20.5,25.9,18.9,4.31,3.3
27,MN,Minnesota,1.57,18.2,15.5,19.5,4.1,2.2
28,MS,Mississippi,2.54,19.9,32.7,12.8,5.8,4.5
29,MO,Missouri,1.54,21.7,24,15.1,4.48,3.7
30,MT,Montana,1.73,20.4,20.1,18.9,3.34,2.7
31,NE,Nebraska,1.13,17.7,15,20.3,3.52,2.6
32,NV,Nevada,2.19,15.6,25.7,16,7.2,3.2
33,NH,New Hampshire,3.25,21,17.9,16.8,4,2.3
34,NJ,New Jersey,4.82,13.4,23.2,15.8,2.98,2.6
35,NM,New Mexico,1.97,21.1,29.5,13.7,4.51,2.9
36,NY,New York,5.39,15.9,25.8,15,3.01,2.4
37,NC,North Carolina,1.76,19,26.1,13.6,3.65,3.7
38,ND,North Dakota,1.99,17.3,13.9,24,3.88,2.4
39,OH,Ohio,1.58,20.9,23.2,18.1,3.98,3.5
40,OK,Oklahoma,1.65,21.8,25.9,12.9,4.28,3.5
41,OR,Oregon,1.89,24,24.1,16.6,4.87,2.8
42,PA,Pennsylvania,2.78,19.7,23.6,16.7,4.39,3.3
44,RI,Rhode Island,2.35,20.6,22.3,18.4,2.38,2.5
45,SC,South Carolina,1.83,19.9,27.3,14.1,3.89,3.7
46,SD,South Dakota,1.03,16.6,14.6,17.4,3.52,3
47,TN,Tennessee,1.66,21.4,27,10.6,4.63,4.2
48,TX,Texas,2.09,14.6,25.4,16.3,4.46,3
49,UT,Utah,1.58,20.7,21,11.4,4.71,2.2
50,VT,Vermont,1.4,21.8,18.2,17.9,3.79,2.3
51,VA,Virginia,3.23,17.4,21.5,15.2,4.37,2.8
53,WA,Washington,2.73,21.6,23.3,17.1,6.03,2.9
54,WV,West Virginia,3.53,23.6,33.3,9.6,5.41,4.6
55,WI,Wisconsin,1.65,17,18.1,22.1,5.85,2.9
56,WY,Wyoming,2.6,19,17.2,17.2,5.83,2.8
72,PR,Puerto Rico,3.89,18.5,51.3,13.2,6.08,2.2
